bleu;sari;fkgl;pbert_ref;rbert_ref;fbert_ref;pbert_src;rbert_src;fbert_src;ppl_mean;ppl_std;lens;lens_std;intra_dist1;intra_dist2;inter_dist1;inter_dist2;Compression ratio;Sentence splits;Levenshtein similarity;Exact copies;Additions proportion;Deletions proportion;Lexical complexity score;file_id
25.1485;25.6114;9.4138;49.6919;57.7321;53.6039;90.8469;88.3846;89.5801;96.9709;361.835;53.5839;17.202;90.9001;98.3698;30.8316;79.769;0.9828;1.0098;0.8861;0.1797;0.0836;0.106;8.6224;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l4_article_para_sents/newsela_manual_v0_v4_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
25.9201;30.5994;8.3297;50.7878;55.6382;53.1528;88.3541;80.454;84.3449;80.4662;73.8749;53.3079;20.0232;91.5434;98.4508;31.7792;81.3209;0.907;1.0698;0.8555;0.0703;0.0925;0.1834;8.6475;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l4_article_para_sents/newsela_manual_v0_v4_test/lambda1.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
15.8886;39.0957;2.7921;36.0394;46.3601;41.0052;57.6955;59.5729;58.4597;142.8508;178.3756;30.8841;26.5627;85.4294;95.0601;26.4784;71.9408;1.1535;3.1579;0.7024;0.0;0.3477;0.3014;8.5371;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l4_article_para_sents/newsela_manual_v0_v4_test/lambda8.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
65.1594;36.6091;9.1521;81.2255;80.0698;80.5785;90.8667;88.0362;89.4163;91.8768;315.1927;60.7027;17.2814;91.5912;98.6221;27.2966;77.008;0.9747;1.0151;0.8857;0.1753;0.0798;0.1083;8.5526;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l1_article_paragraphs/newsela_manual_v0_v1_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
61.3065;36.5611;8.8351;81.469;77.8597;79.6081;90.7671;85.349;88.0145;93.4641;315.1099;61.448;16.3277;92.5485;98.8873;28.133;78.4887;0.9367;1.0039;0.8758;0.1315;0.0735;0.1363;8.5644;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l1_article_paragraphs/newsela_manual_v0_v1_test/lambda1.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
51.0214;38.2307;6.8618;72.4968;75.1101;73.6839;79.9075;81.5689;80.6355;138.632;1304.4598;55.385;22.0644;86.4206;94.8082;23.1777;68.6215;1.1504;1.6184;0.8067;0.0356;0.21;0.1395;8.5065;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l1_article_paragraphs/newsela_manual_v0_v1_test/lambda8.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
52.8444;35.0069;9.125;71.5401;72.5424;71.9687;90.8813;87.919;89.3639;92.4629;320.3616;58.4193;17.5628;91.5279;98.5752;27.5563;77.2722;0.973;1.0156;0.8854;0.1785;0.08;0.1098;8.5567;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l2_article_paragraphs/newsela_manual_v0_v2_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
50.2253;37.1307;8.6042;72.4666;71.0479;71.7055;90.9698;84.909;87.8974;78.3658;102.5054;59.7822;16.3748;92.6163;99.1951;28.4542;78.6489;0.9264;1.0263;0.8764;0.1048;0.0734;0.1433;8.5748;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l2_article_paragraphs/newsela_manual_v0_v2_test/lambda1.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
34.8839;38.7591;5.5597;56.3175;63.3597;59.707;69.5372;74.3425;71.8483;103.7336;442.2948;37.6904;27.4453;81.9179;91.6141;22.6201;67.4333;1.2772;2.1081;0.7597;0.0227;0.2902;0.1554;8.5248;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l2_article_paragraphs/newsela_manual_v0_v2_test/lambda10.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
38.6874;30.8742;9.0926;60.8362;65.1362;62.8984;90.8646;88.0889;89.4397;97.6602;341.6717;55.9805;17.6112;91.3635;98.473;28.8317;78.5146;0.9782;1.0146;0.8865;0.1812;0.0818;0.1078;8.5681;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l3_article_paragraphs/newsela_manual_v0_v3_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
